site_ID,sample_dt,state_abb,HUC02_code,d2H__permil,d18O__permil,latitude,longitude,elevation__m,mean_annual_air_temp__degC,annual_precip__mm,d2H_precip_annual__permil,d18O_precip_annual__permil,dist2coast__km,d2H_precip_season_1__permil,d2H_precip_season_2__permil,d18O_precip_season_1__permil,d18O_precip_season_2__permil
AZ014 - 345041112274501,1991-09-09,AZ,15,-71,-9.9,34.84474316,-112.4632265,1344.102407802499,14.229999542236328,263.98999977111816,-61.722935933115984,-7.997343658202704,387.03525,-78.16881387577186,-46.63290968006959,-10.172486637048676,-6.00152655557974
AZ014 - 345157112280701,1991-09-09,AZ,15,-69.5,-9.45,34.8658538,-112.469338,1330.387077110637,14.239999771118164,284.9000015258789,-61.96867480553939,-8.044009271946134,392.272875,-78.53172825091814,-46.61981686256077,-10.21918768926058,-6.0282876806569785
Chambers_2015 - Bar-0150,2011-09-19,WV,5,-55.1,-8.3,39.171908,-80.085749,500.86863761048454,10.899999618530273,1236.7199935913086,-50.322145685686124,-8.098484980468207,303.80165625,-68.68630959165016,-35.120949037039665,-10.462978540335007,-6.141241908150836
Chambers_2015 - Har-0170,2011-08-01,WV,5,-52,-8.5,39.109731,-80.318561,444.0262115208777,11.199999809265137,1202.240005493164,-49.33916675101043,-7.963640083373711,322.38821875,-68.04554902425886,-34.429869767761765,-10.376086880018846,-6.04087993098277
Chambers_2015 - Har-0173,2011-07-28,WV,5,-51.7,-8.5,39.272644,-80.51567,361.27095397744586,11.210000038146973,1205.3099975585937,-48.97058294113374,-7.8802805016264434,344.11309375,-67.31770521670056,-33.85782899496121,-10.245244102899594,-5.93223056745933
Chambers_2015 - Har-0175,2011-08-24,WV,5,-53,-8.7,39.09886,-80.313146,415.8031088082901,11.199999809265137,1212.5400161743164,-48.45489180144096,-7.823970274184355,320.7169375,-66.94359440134367,-33.9191847355753,-10.220853908645466,-5.939554792252637
Chambers_2015 - Har-0177,2011-09-19,WV,5,-50,-8,39.385472,-80.420732,344.8430356598598,11.010000228881836,1187.7099990844727,-49.87269011864539,-7.99921205211554,339.98784375,-68.61469159918482,-34.3473513057218,-10.411406049776922,-6.001019336444364
Chambers_2015 - Lew-0215,2011-08-24,WV,5,-53.3,-8.3,38.917517,-80.513194,391.13989637305696,11.399999618530273,1196.0700073242187,-47.94092706642512,-7.762341612540638,333.08228125,-66.05812681765316,-33.362366895610336,-10.1055770381992,-5.876785250510228
Chambers_2015 - Lew-0218,2011-08-01,WV,5,-52.1,-8.2,38.991621,-80.461744,361.0240780249924,11.3100004196167,1236.9900131225586,-49.138475260336506,-7.947400336353639,330.20659375,-67.94929603600937,-34.11263029851995,-10.37050159576827,-6.011857741071051
Chambers_2015 - Lew-0221,2011-08-23,WV,5,-51.1,-8.2,38.949253,-80.390382,418.43340444986285,11.270000457763672,1211.5299987792969,-48.876532004885334,-7.910984371362888,320.440875,-67.67440003436553,-34.19526803992798,-10.33103061218273,-6.020911718008204
Chambers_2015 - Mar-0296,2011-07-25,WV,5,-51.1,-8.5,39.585939,-80.260234,387.70801584882656,10.8100004196167,1183.7300109863281,-50.649602604022085,-8.057721465495469,337.28790625,-69.73958531449867,-35.106513635958066,-10.52290697551672,-6.050564118067738
Chambers_2015 - Mar-0300,2011-07-26,WV,5,-52.5,-8.4,39.532321,-80.437614,411.1856141420298,10.569999694824219,1230.9200057983398,-49.74086845244662,-7.957234054314702,346.55184375,-68.6349326417944,-33.963754370949246,-10.393302421196138,-5.923043501638877
Chambers_2015 - Pre-0162,2011-06-29,WV,5,-63.5,-9.5,39.581928,-79.528396,791.4964949710454,9,1293.7800064086914,-53.64815126117615,-8.561972098979947,275.652125,-73.5462078856948,-36.96649268908936,-11.102021384820718,-6.432506160003547
Chambers_2015 - Pre-0166,2011-08-11,WV,5,-66.6,-10.3,39.3179,-79.561541,855.7756781469064,8.770000457763672,1346.4300155639648,-54.86604821280077,-8.766745125820277,270.9921875,-75.46401557529325,-38.11019329837935,-11.37116386765919,-6.648125367348487
Chambers_2015 - Pre-0172,2011-08-30,WV,5,-61.9,-9.8,39.607896,-79.550305,606.0926546784516,9.109999656677246,1259.4599990844727,-53.28240684481473,-8.50557147922765,281.119125,-73.08389965133932,-36.775971497590696,-11.037635045602809,-6.394854584155312
Chambers_2015 - Pre-0173,2011-08-12,WV,5,-60.5,-9.7,39.313915,-79.725407,738.9698262724778,9.569999694824219,1424.4599990844727,-52.07647738024332,-8.376934998764618,282.559,-71.71971557967974,-36.1136723036401,-10.883922027836707,-6.339666676783063
Chambers_2015 - Pre-0177,2011-08-29,WV,5,-59.8,-9.5,39.446745,-79.517191,822.0694910088388,8.529999732971191,1326.5599975585937,-54.560223086396235,-8.712026317224854,270.970625,-75.16168545249589,-37.614530074994846,-11.323719572035206,-6.563783233893402
Chambers_2015 - Ran-0278,2011-08-23,WV,5,-62.4,-9.1,38.6531839902173,-79.921278959062107,972.3498933252057,7.880000114440918,1355.249984741211,-54.92288515413038,-8.869464293584892,276.31809375,-75.90374252161752,-38.39740319245568,-11.496509001192285,-6.800283881827409
Chambers_2015 - Ran-0280,2011-07-06,WV,5,-57,-8.6,38.652727,-80.218546,890.5669003352635,9.119999885559082,1687.7900161743164,-54.62113177108247,-8.804567048552157,302.02271875,-73.59187160443584,-37.299041657167564,-11.19609654010422,-6.620873171440293
Chambers_2015 - Ran-0282,2011-07-07,WV,5,-59.5,-9.1,38.719591,-80.207278,772.9198415117341,9.6899995803833,1575.390007019043,-53.96625827160889,-8.70208097463105,302.991,-73.1331382694301,-37.167071963420426,-11.1230306598308,-6.580192358403323
Chambers_2015 - Tay-0129,2011-07-27,WV,5,-57,-9.1,39.411474,-79.992121,543.3191100274307,10.239999771118164,1236.5299911499023,-50.988545983975825,-8.180404074684326,306.7868125,-69.99591493596665,-35.364170094185084,-10.623841412112037,-6.17185771655098
Chambers_2015 - Tuc-0124,2011-08-09,WV,5,-61.6,-9.6,39.039119,-79.409937,998.4913136238952,7.739999771118164,1344.9499969482422,-55.71278023397781,-8.932554045624403,245.347328125,-76.14846836100219,-38.41717761618471,-11.501588429695627,-6.758269528310919
Chambers_2015 - Tuc-0127,2011-08-08,WV,5,-60.6,-9.2,39.169586,-79.616616,504.300518134715,9.8100004196167,1286.629981994629,-52.21112903338192,-8.428976151107484,267.73878125,-72.04333994572815,-36.46162346023339,-10.951320953371837,-6.425887208369577
Chambers_2015 - Tuc-0129,2011-08-09,WV,5,-62.3,-9.4,39.046823,-79.450727,986.66260286498,7.820000171661377,1356.349998474121,-55.98672968419475,-8.966503447177407,249.373046875,-76.54497088797726,-38.64599473192483,-11.549275259786098,-6.787953140427924
Chambers_2015 - Ups-0177,2011-08-03,WV,5,-61,-9.6,39.02013,-80.066175,621.6671746418775,10.329999923706055,1287.0600128173828,-52.204510121976426,-8.402077866275203,298.40259375,-71.5537720650301,-36.65074497341285,-10.865116793789706,-6.422181839116617
Iles_2017 - CK-HD-15A2,1986-07-22,SD,10,-104.3,-13.96,44.7653994,-99.2513507,517.418469978665,7.25,523.1699934005737,-69.28717907320072,-9.291054035659192,1457.445625,-106.8551650988554,-57.223984066562636,-14.140858855152874,-7.7337668926498475
Iles_2017 - CK-HD-15B,1986-07-22,SD,10,-113.2,-15.55,44.80888,-99.3118059,539.4087168546174,7.190000057220459,518.3099994659424,-69.75659149541204,-9.36985790057772,1453.298875,-107.86016517110208,-57.60068344008644,-14.283260034334237,-7.802370683907058
Iles_2017 - CK-HD-15C,1986-07-22,SD,10,-130.95,-17.935,44.80888,-99.3118059,539.4087168546174,7.190000057220459,518.3099994659424,-69.75659149541204,-9.36985790057772,1453.298875,-107.86016517110208,-57.60068344008644,-14.283260034334237,-7.802370683907058
Iles_2017 - CK-HD-15D,1986-07-22,SD,10,-137.24,-18.78,44.80888,-99.3118059,539.4087168546174,7.190000057220459,518.3099994659424,-69.75659149541204,-9.36985790057772,1453.298875,-107.86016517110208,-57.60068344008644,-14.283260034334237,-7.802370683907058
Iles_2017 - CK-HY-6A,1986-07-22,SD,10,-96.3,-13.59,44.6784515,-99.6143608,539.8140810728437,7.650000095367432,514.3399972915649,-70.53729029687793,-9.424593851743985,1476.318625,-108.77541918401612,-58.462302944453356,-14.37664936565873,-7.860814226491767
Iles_2017 - D. Foerster,1984-08-08,SD,10,-107.1,-14.98,44.7726618,-99.2215136,516.1566595550137,7.179999828338623,524.8700017929077,-69.1247824964259,-9.26874431579569,1456.29075,-106.57596742565121,-56.979651245505586,-14.10389580545617,-7.700741867055866
Iles_2017 - D. Foreman,1984-08-07,SD,10,-138.4,-18.9,44.7871522,-99.3023677,531.246571167327,7.190000057220459,518.3099994659424,-69.64062951010918,-9.348894479026,1458.60775,-107.66446848220154,-57.51015864155381,-14.25424127345504,-7.783977099142892
Iles_2017 - Dennis Mutch,2015-07-28,SD,10,-146.9,-19.58,44.9912124,-98.9505621,435.51965864065835,6.849999904632568,539.2599973678589,-68.764202297228465,-9.196195465188527,1429.31375,-105.76276993995748,-56.87196934167386,-13.981962445885252,-7.657934416380231
Iles_2017 - FA-71B,2016-05-11,SD,10,-147.2,-19.57,45.0201916,-98.9709855,441.81956720512034,6.849999904632568,539.2599973678589,-68.93106214675288,-9.223545248934895,1423.9895,-106.02690267610672,-57.00756333640013,-14.018861371429177,-7.6822148756844815
Iles_2017 - GT-LN-1A,1986-07-14,SD,10,-99.8,-13.31,43.3013414,-96.7467988,408.6467540384029,8.180000305175781,656.9300003051758,-57.18511741336004,-8.204247042408575,1508.479125,-89.23160114811442,-45.91144362180873,-12.384784138554231,-6.733570500795217
Iles_2017 - GT-LN-1K,1986-07-14,SD,10,-71.25,-10.95,43.3013414,-96.7467988,408.6467540384029,8.180000305175781,656.9300003051758,-57.18511741336004,-8.204247042408575,1508.479125,-89.23160114811442,-45.91144362180873,-12.384784138554231,-6.733570500795217
Iles_2017 - GT-LN-1L,1986-07-14,SD,10,-75.7,-10.94,43.3013414,-96.7467988,408.6467540384029,8.180000305175781,656.9300003051758,-57.18511741336004,-8.204247042408575,1508.479125,-89.23160114811442,-45.91144362180873,-12.384784138554231,-6.733570500795217
Iles_2017 - GT-LN-1M,1986-07-15,SD,10,-71.9,-9.88,43.3013414,-96.7467988,408.6467540384029,8.180000305175781,656.9300003051758,-57.18511741336004,-8.204247042408575,1508.479125,-89.23160114811442,-45.91144362180873,-12.384784138554231,-6.733570500795217
Iles_2017 - GT-LN-1O,1986-07-15,SD,10,-89.1,-12.41,43.3013414,-96.7467988,408.6467540384029,8.180000305175781,656.9300003051758,-57.18511741336004,-8.204247042408575,1508.479125,-89.23160114811442,-45.91144362180873,-12.384784138554231,-6.733570500795217
Iles_2017 - GT-LN-1P,1986-07-15,SD,10,-91.7,-13.19,43.3013414,-96.7467988,408.6467540384029,8.180000305175781,656.9300003051758,-57.18511741336004,-8.204247042408575,1508.479125,-89.23160114811442,-45.91144362180873,-12.384784138554231,-6.733570500795217
Iles_2017 - GT-LN-1Q,1986-07-15,SD,10,-98.6,-14.315,43.3013414,-96.7467988,408.6467540384029,8.180000305175781,656.9300003051758,-57.18511741336004,-8.204247042408575,1508.479125,-89.23160114811442,-45.91144362180873,-12.384784138554231,-6.733570500795217
Iles_2017 - GT-LN-2I,1986-07-15,SD,10,-79.2,-11.31,43.3013414,-96.7467988,408.6467540384029,8.180000305175781,656.9300003051758,-57.18511741336004,-8.204247042408575,1508.479125,-89.23160114811442,-45.91144362180873,-12.384784138554231,-6.733570500795217
Iles_2017 - GT-LN-2J,1986-07-15,SD,10,-70.7,-10.28,43.3013414,-96.7467988,408.6467540384029,8.180000305175781,656.9300003051758,-57.18511741336004,-8.204247042408575,1508.479125,-89.23160114811442,-45.91144362180873,-12.384784138554231,-6.733570500795217
Iles_2017 - GT-LN-2L,1986-07-15,SD,10,-82.18,-11.33,43.2578126,-96.687217,406.8393782383419,8.15999984741211,658.5200052261353,-56.891729027056876,-8.172378856129042,1509.645125,-88.84041991731692,-45.599537898575136,-12.33567068255646,-6.700872982024029
Iles_2017 - GT-LN-2N,1988-07-15,SD,10,-97.85,-13.55,43.2578126,-96.687217,406.8393782383419,8.15999984741211,658.5200052261353,-56.891729027056876,-8.172378856129042,1509.645125,-88.84041991731692,-45.599537898575136,-12.33567068255646,-6.700872982024029
Iles_2017 - GT-LN-2O,1986-07-15,SD,10,-101.98,-15.04,43.2578126,-96.687217,406.8393782383419,8.15999984741211,658.5200052261353,-56.891729027056876,-8.172378856129042,1509.645125,-88.84041991731692,-45.599537898575136,-12.33567068255646,-6.700872982024029
Iles_2017 - GT-MC-2H,1986-07-23,SD,10,-62.5,-9.77,43.5866353,-97.2477512,472.0725388601036,7.630000114440918,661.4000110626221,-60.51554433385908,-8.524021364965868,1517.400875,-94.31219145779065,-49.16444327724046,-12.922467058612721,-7.046738698826213
Iles_2017 - GT-MC-2I,1986-07-16,SD,10,-59.6,-8.71,43.5866353,-97.2477512,472.0725388601036,7.630000114440918,661.4000110626221,-60.51554433385908,-8.524021364965868,1517.400875,-94.31219145779065,-49.16444327724046,-12.922467058612721,-7.046738698826213
Iles_2017 - GT-MC-2J,1986-07-16,SD,10,-61,-9.24,43.5866353,-97.2477512,472.0725388601036,7.630000114440918,661.4000110626221,-60.51554433385908,-8.524021364965868,1517.400875,-94.31219145779065,-49.16444327724046,-12.922467058612721,-7.046738698826213
Iles_2017 - GT-MC-2N,1986-07-16,SD,10,-89.3,-12.84,43.5866353,-97.2477512,472.0725388601036,7.630000114440918,661.4000110626221,-60.51554433385908,-8.524021364965868,1517.400875,-94.31219145779065,-49.16444327724046,-12.922467058612721,-7.046738698826213
Iles_2017 - GT-TU-3H,1986-07-16,SD,10,-93.3,-12.95,43.4648276,-97.3406559,436.72051203901253,7.980000019073486,662.2700042724609,-59.473584589523796,-8.3934998676811,1530.951125,-91.94029249356052,-48.2207145101775,-12.624485018176278,-6.927052277763717
Iles_2017 - GT-TU-3I,1986-07-16,SD,10,-91.8,-12.05,43.4648276,-97.3406559,436.72051203901253,7.980000019073486,662.2700042724609,-59.473584589523796,-8.3934998676811,1530.951125,-91.94029249356052,-48.2207145101775,-12.624485018176278,-6.927052277763717
Iles_2017 - GT-TU-3J,1986-07-16,SD,10,-65.3,-9.13,43.4648276,-97.3406559,436.72051203901253,7.980000019073486,662.2700042724609,-59.473584589523796,-8.3934998676811,1530.951125,-91.94029249356052,-48.2207145101775,-12.624485018176278,-6.927052277763717
Iles_2017 - GT-TU-3N,1986-07-16,SD,10,-78.2,-11.45,43.4648276,-97.3406559,436.72051203901253,7.980000019073486,662.2700042724609,-59.473584589523796,-8.3934998676811,1530.951125,-91.94029249356052,-48.2207145101775,-12.624485018176278,-6.927052277763717
Iles_2017 - L. Froning,1984-08-08,SD,10,-134.6,-18.86,44.7871362,-99.2827171,534.6266382200548,7.190000057220459,518.3099994659424,-69.70375014477621,-9.355183868001838,1457.445625,-107.73312902501779,-57.571511919057215,-14.261251552944493,-7.790036507597867
Iles_2017 - M51-2011-32,2016-04-12,SD,10,-113.2,-14.67,44.7720259,-98.7360448,414.9832368180432,6.940000057220459,553.5999975204468,-66.65865054047853,-8.916826341651106,1445.149375,-102.88720756512646,-55.316868404359255,-13.611614070968225,-7.447066999863338
Iles_2017 - M51-2012-06,2016-04-12,SD,10,-108.7,-14.42,44.7436161,-98.876698,419.8537031392868,7.110000133514404,546.810001373291,-67.19977732591182,-8.992015169645596,1453.752125,-103.51838265935233,-55.643697486960406,-13.693073388130227,-7.496203210466534
Iles_2017 - M51-2012-07,2016-04-12,SD,10,-106.2,-14.04,44.7436161,-98.876698,419.8537031392868,7.110000133514404,546.810001373291,-67.19977732591182,-8.992015169645596,1453.752125,-103.51838265935233,-55.643697486960406,-13.693073388130227,-7.496203210466534
Iles_2017 - M51-2012-08,2016-05-10,SD,10,-102.6,-13.78,44.7434552,-98.9374566,442.14873514172507,7.139999866485596,544.100004196167,-67.57147168162336,-9.048427491955643,1454.852125,-104.07062602207533,-55.89676642045116,-13.768096762462372,-7.538782968776358
Iles_2017 - M51-2013-09,2015-08-26,SD,10,-70.3,-9.43,43.3004471,-97.1014742,386.98262724779033,8.329999923706055,667.6700019836426,-56.163922829253266,-8.071686020199202,1531.21925,-88.04361273307194,-44.92753565423338,-12.237526184786553,-6.60338460189679
Iles_2017 - M51-2013-15,2016-09-19,SD,10,-61.9,-8.7,43.2944076,-96.914962,391.8378543127095,8.329999923706055,670.1899938583374,-56.61627473963737,-8.133019864188665,1523.78675,-88.56792719508368,-45.315836796708034,-12.309090269975734,-6.656056376133847
Iles_2017 - M51-2014-01,2016-04-06,SD,10,-102.1,-13.58,44.6772423,-98.645172,411.98415117342273,7.059999942779541,572.7500057220459,-66.44755490321036,-8.901629937865033,1453.71925,-102.6280346507002,-54.990402050943906,-13.587509180187755,-7.417768053169375
Iles_2017 - M51-2014-03,2016-04-06,SD,10,-106,-14.33,44.6772423,-98.645172,411.98415117342273,7.059999942779541,572.7500057220459,-66.44755490321036,-8.901629937865033,1453.71925,-102.6280346507002,-54.990402050943906,-13.587509180187755,-7.417768053169375
Iles_2017 - M51-2014-06,2016-04-04,SD,10,-72.5,-8.92,44.567433,-98.2710042,394.1877476379152,7.25,583.9000043869019,-64.3386643201396,-8.67475170012634,1457.267375,-99.84066276193941,-52.85497527255252,-13.268811401431833,-7.1887296498560955
Iles_2017 - M51-2015-37,2016-11-02,SD,10,-87.5,-11.94,44.8503078,-98.2812221,395.7817738494361,6.889999866485596,570.8399972915649,-65.75701654117448,-8.84729309514178,1425.021625,-102.17211158301527,-54.462240211380355,-13.559003701455747,-7.385873963045652
Iles_2017 - M51-2015-42,2016-11-02,SD,10,-83.1,-11.1,44.7628273,-98.2811968,390.6491923194148,6.940000057220459,577.0500030517578,-65.33684899993946,-8.793453944183176,1435.765,-101.51107117357714,-54.05106179324404,-13.474836120451341,-7.332936472784529
Iles_2017 - NSP-3 PW,1991-08-15,SD,10,-67,-10,43.5945332,-96.6613427,394.96494971045416,7.679999828338623,678.2199993133545,-58.93162273487091,-8.413378078754514,1485.84175,-91.57774857140402,-47.194928708118184,-12.66620541093714,-6.884432966707772
Iles_2017 - Q1,1991-08-15,SD,10,-61,-8.8,43.5220296,-96.6203952,442.87107589149645,7.690000057220459,683.2300024032593,-58.5219071949832,-8.404080005155667,1486.942,-91.22341127183016,-46.58453609811921,-12.65270344107391,-6.85316064579297
Iles_2017 - R. Suing,1984-07-26,SD,10,-59.5,-8.8,43.2651463,-96.7568661,403.43797622676016,8.210000038146973,663.980001449585,-56.98391398637789,-8.177181116007374,1515.2905,-88.95425862106094,-45.658106072952954,-12.347454300648721,-6.699820937584306
Iles_2017 - R20-2011-10,2016-05-10,SD,10,-91.7,-12.2,44.8529621,-98.8863522,427.19597683633043,6.960000038146973,542.5399961471558,-67.5829592176641,-9.030480066783507,1437.741375,-104.02495376951313,-56.22908035181448,-13.751586745974274,-7.559570627097505
Iles_2017 - R20-2011-11,2016-05-10,SD,10,-92.3,-12.23,44.8529621,-98.8863522,427.19597683633043,6.960000038146973,542.5399961471558,-67.5829592176641,-9.030480066783507,1437.741375,-104.02495376951313,-56.22908035181448,-13.751586745974274,-7.559570627097505
Iles_2017 - R20-2013-48,2015-08-26,SD,10,-72.3,-9.97,43.2208565,-97.0321761,391.6031697653154,8.430000305175781,672.5999965667725,-56.10627248204065,-8.065475795457127,1526.645875,-87.99897849728131,-44.839678512581905,-12.230657392594185,-6.59406064381855
Iles_2017 - R20-93-02,1994-07-14,SD,10,-69,-10.7,43.5001535,-96.8901055,463.87381895763485,7.630000114440918,669.9900045394897,-58.91672927176027,-8.416877402041864,1501.19,-91.59995862229351,-47.39396779978908,-12.678900083137478,-6.914263602518709
Iles_2017 - R20-93-03,1994-10-28,SD,10,-69,-10.1,43.5001535,-96.8901055,463.87381895763485,7.630000114440918,669.9900045394897,-58.91672927176027,-8.416877402041864,1501.19,-91.59995862229351,-47.39396779978908,-12.678900083137478,-6.914263602518709
Iles_2017 - R20-93-07,1994-07-14,SD,10,-71,-9.8,43.543455,-96.9498617,487.61658031088075,7.519999980926514,666.269998550415,-59.5692805424791,-8.494382516787892,1504.0505,-92.561227941212607,-48.057870214135995,-12.789976692624206,-6.995582051035143
Iles_2017 - R20-93-11,1994-07-14,SD,10,-60,-9.2,43.5001535,-96.8901055,463.87381895763485,7.630000114440918,669.9900045394897,-58.91672927176027,-8.416877402041864,1501.19,-91.59995862229351,-47.39396779978908,-12.678900083137478,-6.914263602518709
Iles_2017 - R20-93-14,1994-10-28,SD,10,-63,-10.5,43.543455,-96.9498617,487.61658031088075,7.519999980926514,666.269998550415,-59.5692805424791,-8.494382516787892,1504.0505,-92.561227941212607,-48.057870214135995,-12.789976692624206,-6.995582051035143
Iles_2017 - R20-93-15,1994-07-14,SD,10,-67,-9.5,43.543455,-96.9498617,487.61658031088075,7.519999980926514,666.269998550415,-59.5692805424791,-8.494382516787892,1504.0505,-92.561227941212607,-48.057870214135995,-12.789976692624206,-6.995582051035143
Iles_2017 - R20-93-16,1994-07-14,SD,10,-59,-9.6,43.5870705,-97.0094366,482.72173117951843,7.489999771118164,663.8399925231934,-60.114345894178605,-8.53962101618381,1505.875,-93.30196164594415,-48.611078194491824,-12.859320208005812,-7.04235604528583
Iles_2017 - R20-93-21,1994-07-14,SD,10,-62,-8.4,43.543455,-96.9498617,487.61658031088075,7.519999980926514,666.269998550415,-59.5692805424791,-8.494382516787892,1504.0505,-92.561227941212607,-48.057870214135995,-12.789976692624206,-6.995582051035143
Iles_2017 - R20-96-35,2016-04-04,SD,10,-92.9,-12.64,44.6763049,-98.4024924,397.0893020420603,7.130000114440918,583.5699996948242,-65.34026170479014,-8.778452221044294,1449.556125,-101.45231664355697,-54.02273569837476,-13.45593555878708,-7.312527913667241
Iles_2017 - R20-96-37,2016-05-09,SD,10,-99.5,-13.66,44.7630198,-98.402349,386.1962816214568,6.880000114440918,583.5100021362305,-65.50652989800543,-8.800519563340076,1438.824625,-101.9163583359301,-54.306331243096196,-13.5171653977516,-7.349609949072328
Iles_2017 - Schoffelman,1984-07-25,SD,10,-68.3,-9.88,43.2943707,-96.7767492,400.18287107589146,8.239999771118164,663.149995803833,-57.14726822532492,-8.194148109637322,1515.2905,-89.15754889712827,-45.83411519924851,-12.373244212669185,-6.717161611505201
Iles_2017 - SP-66M,2016-05-09,SD,10,-102.8,-14.17,44.7635285,-98.5238542,403.28558366351723,6.909999847412109,582.1899919509888,-66.02943978691685,-8.848963056018048,1440.902625,-102.55741261381027,-54.83571563085578,-13.584084913509546,-7.397920373734929
Iles_2017 - SP-77K,2016-04-11,SD,10,-107.9,-14.39,44.7189111,-98.0991356,416.64431575739104,7.150000095367432,581.5999975204468,-64.41823561709305,-8.717131119808954,1437.17775,-100.2776182393402,-53.382157445975416,-13.343174973367464,-7.293420543186324
Iles_2017 - SP-80O,2016-05-10,SD,10,-113.6,-15.14,44.7426091,-98.6762841,405.8732093873819,6.960000038146973,565.9499912261963,-66.49873799860866,-8.905805226983523,1449.426875,-102.84566534284951,-55.140325997021,-13.613199421864994,-7.4347449171497795
Iles_2017 - SRC-18A,1991-08-15,SD,10,-77,-11.8,43.6091611,-96.6416136,403.91039317281314,7.610000133514404,683.7299947738647,-60.13227920604672,-8.562169448254876,1479.057125,-93.38242758554482,-48.07727643900408,-12.881227080970826,-6.996274107541392
Iles_2017 - Sweeter,1986-07-15,SD,10,-68.1,-10.405,43.2943707,-96.7767492,400.18287107589146,8.239999771118164,663.149995803833,-57.14726822532492,-8.194148109637322,1515.2905,-89.15754889712827,-45.83411519924851,-12.373244212669185,-6.717161611505201
Iles_2017 - TU-80F,2015-08-26,SD,10,-57.4,-8.19,43.3010832,-96.9832872,387.59524535202684,8.369999885559082,669.6100082397461,-56.41758979070593,-8.097879742899577,1522.66425,-88.32220008390496,-45.16593202735114,-12.270379197191414,-6.62638278658232
Iles_2017 - Viborg,1983-10-21,SD,10,-76,-9.6,43.1775139,-97.0712292,389.676927765925,8.40999984741211,674.1100034713745,-55.948112108060826,-8.041075343977614,1522.083875,-87.85164030335679,-44.65551210915189,-12.205802896678746,-6.566924807223699
MN040 - 433318096105901,1997-08-27,MN,10,-65,-9.18,43.55496935,-96.1833614,423.65437366656505,7.449999809265137,719.1099891662598,-58.027363555851245,-8.402939521905934,1457.538875,-91.28021426014175,-45.77081658509266,-12.688502110468612,-6.823339629760369
